,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Clicks,Impressions,Engagement_Score,Customer_Segment
0,Innovate Industries,Email,Men 18-24,30 days,Google Ads,0.04,16174,6.29,Chicago,506,1922,6,Health & Wellness
1,NexGen Systems,Email,Women 35-44,60 days,Google Ads,0.12,11566,5.61,New York,116,7523,7,Fashionistas
2,Alpha Innovations,Influencer,Men 25-34,30 days,YouTube,0.07,10200,7.18,Los Angeles,584,7698,1,Outdoor Adventurers
3,DataTech Solutions,Display,All Ages,60 days,YouTube,0.11,12724,5.55,Miami,217,1820,7,Health & Wellness
4,NexGen Systems,Email,Men 25-34,15 days,YouTube,0.05,16452,6.5,Los Angeles,379,4201,3,Health & Wellness
5,DataTech Solutions,Display,All Ages,15 days,Instagram,0.07,9716,4.36,New York,100,1643,1,Foodies
6,NexGen Systems,Email,Women 35-44,60 days,Website,0.13,11067,2.86,Los Angeles,817,8749,10,Tech Enthusiasts
7,DataTech Solutions,Search,Men 18-24,45 days,Google Ads,0.08,13280,5.55,Los Angeles,624,7854,7,Outdoor Adventurers
8,Alpha Innovations,Social Media,Women 35-44,15 days,Facebook,0.09,18066,6.73,Chicago,861,1754,6,Tech Enthusiasts
9,TechCorp,Email,Women 35-44,15 days,Instagram,0.09,13766,3.78,Los Angeles,642,3856,3,Tech Enthusiasts
