,Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Date,Clicks,Impressions,Engagement_Score,Customer_Segment
0,1,Innovate Industries,Email,Men 18-24,30 days,Google Ads,0.04,16174,6.29,Chicago,2021-01-01,506,1922,6,Health & Wellness
1,2,NexGen Systems,Email,Women 35-44,60 days,Google Ads,0.12,11566,5.61,New York,2021-02-01,116,7523,7,Fashionistas
2,3,Alpha Innovations,Influencer,Men 25-34,30 days,YouTube,0.07,10200,7.18,Los Angeles,2021-03-01,584,7698,1,Outdoor Adventurers
3,4,DataTech Solutions,Display,All Ages,60 days,YouTube,0.11,12724,5.55,Miami,2021-04-01,217,1820,7,Health & Wellness
4,5,NexGen Systems,Email,Men 25-34,15 days,YouTube,0.05,16452,6.5,Los Angeles,2021-05-01,379,4201,3,Health & Wellness
5,6,DataTech Solutions,Display,All Ages,15 days,Instagram,0.07,9716,4.36,New York,2021-06-01,100,1643,1,Foodies
6,7,NexGen Systems,Email,Women 35-44,60 days,Website,0.13,11067,2.86,Los Angeles,2021-07-01,817,8749,10,Tech Enthusiasts
7,8,DataTech Solutions,Search,Men 18-24,45 days,Google Ads,0.08,13280,5.55,Los Angeles,2021-08-01,624,7854,7,Outdoor Adventurers
8,9,Alpha Innovations,Social Media,Women 35-44,15 days,Facebook,0.09,18066,6.73,Chicago,2021-09-01,861,1754,6,Tech Enthusiasts
9,10,TechCorp,Email,Women 35-44,15 days,Instagram,0.09,13766,3.78,Los Angeles,2021-10-01,642,3856,3,Tech Enthusiasts
