,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Acquisition_Cost,ROI,Location,Clicks,Impressions,Engagement_Score,Customer_Segment
153248,DataTech Solutions,Influencer,Women 35-44,15 days,Email,8375,6.11,Chicago,963,6433,5,Health & Wellness
67802,TechCorp,Influencer,Men 18-24,30 days,Email,19992,4.58,Miami,416,1088,4,Outdoor Adventurers
148889,Alpha Innovations,Influencer,Women 35-44,15 days,YouTube,15241,6.54,New York,408,3766,9,Outdoor Adventurers
103093,TechCorp,Email,Men 25-34,60 days,Email,19578,3.04,Miami,718,4031,5,Health & Wellness
104681,TechCorp,Display,Men 18-24,45 days,Website,11850,6.41,Houston,334,9612,1,Tech Enthusiasts
80115,DataTech Solutions,Email,Women 35-44,15 days,YouTube,10359,2.58,Los Angeles,357,3761,3,Fashionistas
38121,Alpha Innovations,Search,Men 25-34,60 days,YouTube,6575,7.47,Los Angeles,174,6815,9,Tech Enthusiasts
121094,Alpha Innovations,Search,Men 18-24,45 days,Instagram,14331,6.88,New York,106,1280,9,Outdoor Adventurers
182119,Innovate Industries,Email,Men 18-24,30 days,Facebook,7587,4.64,New York,455,2122,10,Foodies
48981,Alpha Innovations,Search,Men 25-34,60 days,Facebook,5827,2.8,New York,218,2608,9,Fashionistas
